ID,Title,Poster,Description,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Audio Description,English Subtitles,Spanish Subtitles
0,2 Weeks in Lagos,https://images.squarespace-cdn.com/content/v1/55b85014e4b07694dcf099c9/1583978159953-4YBAK6YX7IMJRBJHDMWN/image-asset.jpeg,A businessman returns home to Nigeria and falls in love with a friend's sister despite his family’s plan for him to marry a politician’s daughter.,2021,,40/100,1,0,0,0,0,0,1,0
1,22 vs. Earth,https://upload.wikimedia.org/wikipedia/en/0/02/22_vs._Earth_poster.png,"22 is resentful that her friends left her to go to Earth and decides never to go there. She kidnaps five souls and tries to convince them of her agenda, only to be left alone again.",2021,all,64/100,0,0,0,1,0,1,1,1
2,69: The Saga of Danny Hernandez,"https://m.media-amazon.com/images/M/MV5BYTIxYTE3NDUtNWNhZC00OWUyLThhYTktMDAzNzBmZTI3MTM1XkEyXkFqcGdeQXVyMTI4Mjk3MTkz._V1_UX67_CR0,0,67,98_AL_.jpg","Part investigative documentary, part real-life gangster movie, '69: The Saga of Danny Hernandez' unpacks the life of polarizing rap sensation and internet troll Tekashi69.",2021,18+,53/100,0,1,0,0,0,1,1,1
3,7 Yards: The Chris Norton Story,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXs58vhewwclEu3T_GpkclvQSn2MJfAFCXFieu4oZYQx6bgQ1wPT0DaS3VijJ_KFLBTHQ-vDU5NLzqPa7I4kZFfSgy4p.jpg?r=994,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side.",2021,,51/100,1,0,0,0,0,0,1,0
4,99 Songs,https://occ-0-1001-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQioWtWaatvXVLMHNURekOBTLvta8_zikxZnkB5qOp53ZBstg93k9edFq8MelJYdlycbfMrcxUfqrCALcbVD-1hylA4n.jpg?r=a34,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",2021,,58/100,1,0,0,0,0,0,1,1
5,A Classic Horror Story,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUd_0ho4JqLbWVQYhlXBT62b042TpwdRkDV6e3PSi3dRS6PQnwlxMbJ7iwnusiqajzNUZXi_xjstQzCJ5jFzS7fCdKCoeoYwtsPXUeZuGR2qzxwsbkcUbmZvLKkupA.jpg?r=276,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",2021,18+,57/100,1,0,0,0,0,0,1,1
6,A Family,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT61Q9RRl0lde9fo8mEgFQ6RLxnz11590apHEoX4ID6ytO82KE6MSUUc8qbVRooA_0IZymAznE9H4QzOqDim3YCgmDKE.jpg?r=607,"Taken in by the yakuza at a young age, Kenji swears allegiance to his old-school boss, pledging to adhere to the family code amid ever-changing times.",2021,,56/100,1,0,0,0,0,0,1,1
7,A Glitch in the Matrix,https://m.media-amazon.com/images/M/MV5BMWRhNGY3NGQtMDAxMS00YjY2LTgzOTUtZjljZmUyYWQwMGI2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,"Documentary filmmaker Rodney Ascher tackles the question ""are we living in a simulation?"" with testimony, philosophical evidence and scientific explanation in his quest for the answer.",2021,,58/100,0,1,0,0,0,0,1,0
8,A Perfect Fit,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUkCEVNrWo1T1vKzf7mndwIQDJyRk-foTKzjlyjcztlyft4Sgf-LB2M5WWkU_h0Dvc5DD3KfQLWEUdVOYSz1m-vfAlHCgEiDUrkwa3DOqrMy2Uq4oumuwjivFf1p3A.jpg?r=cbf,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.",2021,,56/100,1,0,0,0,0,0,1,1
9,A Week Away,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfSEDOyDvDm68jwLOZZmCZV-oHgEJTvFXy6bpIJ8-AlfCLbR0aOXRzoPrJD0Xv39A3w1ufUaVPgtlph9a9EAeznh0gi_qZd0Qxb0N0xSpHlRnUyfmWPHeiOQOUFU0g.jpg?r=001,"In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp — and unexpectedly finds love, friends and a place to belong.",2021,18+,56/100,1,0,0,0,0,1,1,1
